Commodity I-O code,Industry I-O code,input
212230,561700,6.9
212230,562000,4.2
212230,611B00,44.6
212230,621600,20.5
212230,621A00,46.2
212230,621B00,43.3
212230,622000,5.1
212230,623000,9.3
212230,624200,40
212230,624400,3.1
212230,624A00,1.1
212230,711100,1.2
212230,711200,6
212230,711500,0.7
212230,711A00,4.5
212230,713940,60.7
212230,713950,0.4
212230,713A00,0.5
212230,713B00,75.2
212230,721A00,3.2
212230,722000,16.5
212230,811192,3.7
212230,811200,5.6
212230,811300,3.6
212230,812100,34.6
212230,812200,20.8
212230,812900,30.8
212230,813A00,15.7
212230,813B00,6.8
212230,F03000,3.5
212230,F04000,455.7
212230,F05000,-155.8
2122A0,212230,178.6
2122A0,2122A0,275.7
2122A0,324110,17.2
2122A0,325110,6.7
2122A0,325120,19.7
2122A0,325130,18.8
2122A0,325181,3.3
2122A0,325188,212.4
2122A0,325190,22.3
2122A0,325310,15.9
2122A0,325510,25.6
2122A0,3259A0,1.5
2122A0,32711A,19.2
2122A0,32712B,9.3
2122A0,327212,37.5
2122A0,327310,3
2122A0,327910,2
2122A0,327992,5.9
2122A0,331314,7.5
2122A0,33131A,77.5
2122A0,331419,380.2
2122A0,331420,3
2122A0,331490,203.3
2122A0,332600,25.3
2122A0,33299C,3.7
2122A0,33351A,10.9
2122A0,33411A,5.5
2122A0,334210,22.7
2122A0,335314,11.8
2122A0,335999,41
2122A0,336300,509.3
2122A0,339114,20.1
2122A0,339910,15.2
2122A0,420000,8.5
2122A0,4A0000,3.8
2122A0,541700,12.8
2122A0,550000,0.1
2122A0,F02000,46.3
2122A0,F03000,5.6
2122A0,F04000,188.7
2122A0,F05000,1383.6
2122A0,S00600,2
212310,1111A0,22.5
212310,1111B0,122.3
212310,111200,23.8
212310,111335,1.3
212310,1113A0,7.8
212310,111400,8.1
212310,111910,2.7
212310,111920,4.7
212310,1119A0,3.2
212310,1119B0,81.4
212310,112120,29.9
212310,1121A0,15
212310,112300,6.2
212310,112A00,14.3
212310,212100,396.8
212310,212310,679
212310,212320,78.7
212310,212390,5.5
212310,230103,1570
212310,230201,1744.8
212310,230202,938.7
212310,230301,1326.6
212310,230302,116.9
212310,324121,32.5
212310,324122,18.4
212310,3259A0,19.5
212310,327310,8.7
212310,327320,812.9
212310,327330,12.3
212310,327390,14.1
212310,3274A0,1.5
212310,327991,73.1
212310,327992,51
212310,337127,12.5
212310,482000,55.3
212310,531000,31.5
212310,541300,20.7
212310,541700,10.4
212310,550000,0.6
212310,F03000,30.1
212310,F04000,44.5
212310,F05000,-219.9
212310,S00203,382.6
212310,S00800,817.8
212320,212100,21.5
212320,212210,62.7
212320,212310,11
212320,212320,154
212320,213111,53.2
212320,213112,7.6
212320,221300,22.3
212320,230103,214.9
212320,230201,2247.9
212320,230202,158.5
212320,230301,47.9
212320,230302,27.9
212320,322120,189.9
212320,322130,57.9
212320,324110,13.8
212320,324122,19.7
212320,325188,16.5
212320,325510,220.7
212320,325520,19.9
212320,32712B,14
212320,327211,65
212320,327212,99.3
212320,327213,47.6
212320,327215,13.1
212320,327310,19.4
212320,327320,1717.8
212320,3274A0,1.3
212320,327910,9.7
212320,327991,8.4
212320,327992,13.2
212320,327999,24.5
212320,331110,15.5
212320,331510,59.5
212320,331520,7
212320,336411,73.8
212320,336412,23.9
212320,336413,334.2
